Sale,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife,Area_Encoded,Median Household Income by Area,Median Age by Area,Total Population by Area,Occupied by Area,Vacant by Area,Work Commute Short by Area,Work Commute Average by Area,Work Commute Long by Area,Compare Median Sale Price,Area
352000.0,3.0,1.0,1.4836629835573376,41.0,6.0,3.0,3.0,12.0,182.0,39.0,40.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
368000.0,3.0,1.0,2.0,41.0,8.0,4.0,0.0,12.0,285.0,38.0,99.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
288000.0,2.0,1.0,4.0,41.0,5.0,2.0,0.0,7.0,439.0,61.0,181.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
431200.0,4.0,1.0,1.0,41.0,3.0000000000105422,1.9999999999945208,2.99999999994662,7.999999999904867,345.0,46.0,140.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
288000.0,2.0,1.0,2.0,41.0,6.0,3.0,3.0,12.0,198.0,34.0,56.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
480000.0,4.0,1.0,1.0,41.0,5.0,3.0,3.0,11.0,284.0,36.0,104.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
344000.0,3.0,1.0,1.4821625076330642,41.0,6.0,3.0,3.0,12.0,182.0,39.0,40.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
296000.0,2.0,1.0,1.7681432121801302,41.0,3.0,2.0,2.0,7.0,282.0,40.0,110.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
304000.0,2.0,1.0,1.5731299358589,41.0,6.0,3.0,3.0,12.0,258.0,43.0,73.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
312000.0,2.0,1.0,1.0,41.0,2.0,2.0,2.0,6.0,124.0,22.0,22.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
319200.0,3.0,1.0,2.0,41.0,7.0,4.0,0.0,11.0,274.0,38.0,92.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
312000.0,2.0,1.0,1.0,41.0,5.0,3.0,3.0,11.0,256.0,36.0,85.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
400000.0,3.0,1.0,3.0,41.0,6.0,3.0,3.0,12.0,205.0,34.0,59.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
384000.0,3.0,1.0,2.0,41.0,4.0,3.0,3.0,10.0,446.0,62.0,179.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
480000.0,4.0,1.0,1.0,41.0,7.0,4.0,4.0,15.0,226.0,35.0,61.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
400000.0,3.0,1.0,2.0,41.0,6.0,3.0,3.0,12.0,199.0,31.0,56.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
400000.0,3.0,1.0,2.0,41.0,3.000000000014364,2.0000000000093707,2.9999999999522347,7.99999999996828,214.0,38.0,57.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
392000.0,3.0,1.0,2.0,41.0,4.0,2.0,2.0,8.0,210.0,36.0,56.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
400000.0,3.0,1.0,3.0,41.0,6.0,3.0,3.0,12.0,198.0,34.0,56.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
384000.0,3.0,1.0,2.0,41.0,3.0000000000147247,1.9999999999986389,2.9999999999513856,7.999999999939451,446.0,62.0,179.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
384000.0,3.0,1.0,2.0,41.0,4.0,2.0,2.0,8.0,164.0,45.0,32.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
479200.0,4.0,1.0,1.4044431572761686,41.0,4.0,2.0,2.0,8.0,65.0,7.0,11.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
479200.0,4.0,1.0,1.0,41.0,2.0,2.0,2.0,6.0,145.0,24.0,27.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
432000.0,4.0,1.0,2.0,41.0,4.0,3.0,3.0,10.0,467.0,62.0,189.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
384000.0,3.0,1.0,1.7266619569130652,41.0,3.000000000012696,2.000000000003848,2.9999999999560423,7.999999999955872,284.0,38.0,105.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
384000.0,3.0,1.0,1.0,41.0,5.0,3.0,3.0,11.0,284.0,36.0,104.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
576000.0,5.0,1.0,2.0,41.0,6.0,3.0,3.0,12.0,205.0,39.0,56.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
320000.0,2.0,1.0,1.5556697045362693,41.0,6.0,3.0,3.0,12.0,201.0,34.0,57.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
448000.0,4.0,1.0,1.0,41.0,2.0,2.0,2.0,6.0,121.0,20.0,24.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
392000.0,3.0,1.0,1.9497167259322614,41.0,4.0,3.0,3.0,10.0,345.0,46.0,140.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
416000.0,3.0,1.0,2.0,41.0,3.0000000000156333,1.9999999999955342,2.999999999952463,7.999999999934228,551.0,67.0,215.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
404000.0,3.0,1.0,1.0,41.0,4.0,3.0,3.0,10.0,306.0,39.0,119.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
412000.0,3.0,1.0,2.0239596114965197,41.0,4.0,3.0,3.0,10.0,421.0,62.0,164.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
416000.0,3.0,1.0,1.0,41.0,5.0,3.0,3.0,11.0,284.0,36.0,104.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
416000.0,3.0,1.0,1.0,41.0,5.0,3.0,3.0,11.0,284.0,36.0,104.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
236000.0,1.0,1.0,1.6343126935082593,41.0,7.0,4.0,0.0,11.0,254.0,38.0,78.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
448000.0,4.0,1.0,1.0,41.0,2.0,2.0,2.0,6.0,93.0,14.0,17.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
440000.0,4.0,1.0,1.0,41.0,4.0,3.0,3.0,10.0,421.0,62.0,164.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
448000.0,4.0,1.0,1.4600877445405454,41.0,4.0,2.0,2.0,8.0,164.0,45.0,32.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
352000.0,2.0,1.0,1.5975896173763378,41.0,3.0,2.0,2.0,7.0,225.0,33.0,77.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
512000.0,4.0,1.0,1.0,41.0,4.0,2.0,2.0,8.0,65.0,7.0,11.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
512000.0,4.0,1.0,1.0,41.0,2.0,0.0,2.0,4.0,167.0,38.0,34.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
512000.0,4.0,1.0,1.0,41.0,3.000000000012893,2.0000000000060916,2.999999999941333,7.999999999931584,163.0,38.0,32.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
512000.0,4.0,1.0,1.4209526399589762,41.0,4.0,2.0,2.0,8.0,63.0,8.0,11.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
512000.0,4.0,1.0,1.4720915519347288,41.0,4.0,2.0,2.0,8.0,164.0,45.0,32.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
496000.0,4.0,1.0,1.0,41.0,3.0000000000077893,2.000000000004293,2.99999999995327,7.999999999933753,65.0,7.0,11.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
492000.0,4.0,1.0,1.0,41.0,3.000000000007559,2.0000000000044538,2.999999999952541,7.999999999932655,48.0,8.0,10.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
400000.0,3.0,1.0,2.0,41.0,6.0,3.0,3.0,12.0,198.0,34.0,56.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
480000.0,4.0,1.0,1.0,41.0,5.0,3.0,3.0,11.0,284.0,36.0,104.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
352000.0,2.0,1.0,2.12736784592064,41.0,4.0,3.0,3.0,10.0,551.0,67.0,215.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
352000.0,2.0,1.0,1.501486904263503,41.0,4.0,1.0,1.0,6.0,196.0,32.0,55.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
336000.0,2.0,1.0,1.0,41.0,3.0,2.0,2.0,7.0,342.0,43.0,142.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
352000.0,2.0,1.0,4.0,41.0,6.0,3.0,3.0,12.0,258.0,43.0,73.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
512000.0,4.0,1.0,2.0,41.0,6.0,3.0,3.0,12.0,200.0,35.0,53.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
512000.0,4.0,1.0,1.0,41.0,5.0,3.0,3.0,11.0,284.0,36.0,104.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
480000.0,4.0,2.0,2.0,41.0,6.0,3.0,3.0,12.0,203.0,33.0,57.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
584000.0,5.0,1.5,1.3906501190684857,41.0,2.0,2.0,2.0,6.0,89.0,14.0,17.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
512000.0,4.0,1.0,1.0,41.0,2.0,2.0,2.0,6.0,93.0,15.0,16.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
351200.0,2.0,1.0,1.0,41.0,5.0,3.0,3.0,11.0,422.0,59.0,169.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
480000.0,4.0,2.5,1.0,41.0,2.999999999991461,2.0000000000299796,2.9999999999514744,7.999999999978265,289.0,42.0,111.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
480000.0,4.0,2.5,1.0,41.0,3.0,2.0,2.0,7.0,289.0,42.0,111.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
368000.0,2.0,1.0,1.0,41.0,3.0000000000031593,2.000000000018373,2.999999999952104,7.999999999971943,422.0,59.0,169.0,7.0,100708.83,34.8,45357.0,17308.0,1524.0,13605.0,277870.0,227790.0,0.0,East Boston
