Day_of_Year,Year_of_Period_End,Period_Begin,Period_End,Active_Listings_YOY,Active_Listings,Adjusted_Average_Homes_Sold,Adjusted_Average_Homes_Sold_YOY,Median_Sale_ppsf,Median_Sale_ppsf_YOY,Median_Sale_Price_YOY,Median_Sale_Price
1,2023,12/5/2022,1/1/2023,0.1351,5344,725.0,-0.304889741,353.96,0.005122346,-0.01755102,601750.0
2,2022,12/6/2021,1/2/2022,-0.3055,4708,1043.0,-0.019736842,352.15,0.144757758,0.126954922,612500.0
3,2021,12/7/2020,1/3/2021,-0.1097,6779,1064.0,0.173098126,307.62,0.099852057,0.108053007,543500.0
7,2024,12/11/2023,1/7/2024,-0.10710000000000001,4443,561.0,-0.14351145,384.34,0.085528885,0.126831521,671000.0
8,2023,12/12/2022,1/8/2023,0.16260000000000002,4976,655.0,-0.299465241,354.06,-0.000757345,-0.027756235,595475.0
9,2022,12/13/2021,1/9/2022,-0.3156,4280,935.0,-0.065,354.32,0.147392172,0.128206309,612475.0
10,2021,12/14/2020,1/10/2021,-0.12869999999999998,6254,1000.0,0.218026797,308.81,0.091104941,0.092853548,542875.0
14,2024,12/18/2023,1/14/2024,-0.10529999999999999,4231,503.0,-0.128249567,379.12,0.064841755,0.122016659,659612.5
15,2023,12/19/2022,1/15/2023,0.1825,4729,577.0,-0.299757282,356.04,0.01904841,-0.020524492,587881.2
16,2022,12/20/2021,1/16/2022,-0.3246,3999,824.0,-0.055045872,349.38,0.132046333,0.108146781,600200.0
17,2021,12/21/2020,1/17/2021,-0.1493,5921,872.0,0.295690936,308.63,0.10139181,0.099049273,541625.0
21,2024,12/25/2023,1/21/2024,-0.10039999999999999,4193,442.0,-0.159695817,375.18,0.061408028,0.089101596,655237.5
22,2023,12/26/2022,1/22/2023,0.17850000000000002,4661,526.0,-0.333333333,353.47,0.013635987,0.00932131,601631.2
23,2022,12/27/2021,1/23/2022,-0.3247,3955,789.0,-0.062945368,348.72,0.122178678,0.086266202,596075.0
24,2021,12/28/2020,1/24/2021,-0.15869999999999998,5857,842.0,0.25297619,310.75,0.103065187,0.092966949,548737.5
28,2024,1/1/2024,1/28/2024,-0.08349999999999999,4316,415.0,-0.105603448,370.57,0.048288516,0.08578741,668987.5
29,2023,1/2/2023,1/29/2023,0.16620000000000001,4709,464.0,-0.345557123,353.5,0.018571799,0.025048788,616131.2
30,2022,1/3/2022,1/30/2022,-0.3211,4038,709.0,-0.162927981,347.06,0.095230819,0.080123094,601075.0
31,2021,1/4/2021,1/31/2021,-0.1567,5948,847.0,0.211731044,316.88,0.145501697,0.096932797,556487.5
35,2024,1/8/2024,2/4/2024,-0.071,4452,446.0,-0.097165992,376.16,0.053863937,0.07352935,665487.5
36,2023,1/9/2023,2/5/2023,0.1516,4792,494.0,-0.290229885,356.94,0.034800188,0.057679918,619906.2
37,2022,1/10/2022,2/6/2022,-0.3114,4161,696.0,-0.120101138,344.93,0.082878819,0.056773874,586100.0
38,2021,1/11/2021,2/7/2021,-0.1605,6043,791.0,0.237871674,318.53,0.163248965,0.104393719,554612.5
42,2024,1/15/2024,2/11/2024,-0.0581,4555,402.0,-0.110619469,378.88,0.072969252,0.066324296,664350.0
43,2023,1/16/2023,2/12/2023,0.1328,4836,452.0,-0.252892562,353.11,0.023731977,0.056651431,623028.1
44,2022,1/17/2022,2/13/2022,-0.2994,4269,605.0,-0.126984127,344.93,0.079303964,0.065290544,589625.0
45,2021,1/18/2021,2/14/2021,-0.16829999999999998,6093,693.0,0.194827586,319.58,0.161281745,0.111978905,553487.5
49,2024,1/22/2024,2/18/2024,-0.053099999999999994,4586,395.0,-0.118303571,386.01,0.087736629,0.109685868,670975.0
50,2023,1/23/2023,2/19/2023,0.11359999999999999,4843,448.0,-0.223570191,354.87,0.023025785,0.014093249,604653.1
51,2022,1/24/2022,2/20/2022,-0.2842,4349,577.0,-0.142644874,346.89,0.085561103,0.086312913,596250.0
52,2021,1/25/2021,2/21/2021,-0.1825,6076,673.0,0.166377816,319.55,0.146780343,0.119581846,548875.0
56,2024,1/29/2024,2/25/2024,-0.045899999999999996,4596,388.0,-0.122171946,392.75,0.092379232,0.121922692,664350.0
57,2023,1/30/2023,2/26/2023,0.0933,4817,442.0,-0.166037736,359.54,0.010840084,-0.004784706,592153.1
58,2022,1/31/2022,2/27/2022,-0.2732,4406,530.0,-0.178294574,355.68,0.109748939,0.084035527,595000.0
59,2021,2/1/2021,2/28/2021,-0.2079,6062,645.0,0.064356436,320.51,0.123589612,0.113901573,548875.0
63,2024,2/5/2024,3/3/2024,-0.026699999999999998,4675,450.0,-0.070247934,396.63,0.103263113,0.121193505,665600.0
64,2023,2/6/2023,3/5/2023,0.0596,4803,484.0,-0.172649573,359.5,0.002584527,-0.016723644,593653.1
65,2022,2/7/2022,3/6/2022,-0.2616,4533,585.0,-0.161891117,358.58,0.100027659,0.08271688,603750.0
66,2021,2/8/2021,3/7/2021,-0.2274,6139,698.0,0.077160494,325.97,0.133207965,0.11944793,557625.0
70,2024,2/12/2024,3/10/2024,-0.0109,4801,493.0,-0.046421663,406.77,0.107250359,0.146596859,684375.0
71,2023,2/13/2023,3/12/2023,0.0321,4854,517.0,-0.156606852,367.37,0.001429862,-0.027494908,596875.0
72,2022,2/14/2022,3/13/2022,-0.253,4703,613.0,-0.168249661,366.85,0.09513813,0.08388521,613750.0
73,2021,2/15/2021,3/14/2021,-0.24780000000000002,6296,737.0,0.095096582,334.98,0.147826624,0.117966436,566250.0
77,2024,2/19/2024,3/17/2024,0.0077,4985,520.0,-0.028037383,410.17,0.110013165,0.111623246,693375.0
78,2023,2/20/2023,3/19/2023,0.01,4947,535.0,-0.165366615,369.52,-0.014959487,0.010121457,623750.0
79,2022,2/21/2022,3/20/2022,-0.2506,4898,641.0,-0.188607595,375.13,0.098154148,0.073213122,617500.0
80,2021,2/22/2021,3/21/2021,-0.2577,6536,790.0,0.077762619,341.6,0.163163839,0.118318756,575375.0
84,2024,2/26/2024,3/24/2024,0.0227,5236,550.0,0.020408163,416.07,0.115328605,0.123031496,713125.0
85,2023,2/27/2023,3/26/2023,-0.0158,5120,539.0,-0.203840473,373.05,-0.008652315,0.009940358,635000.0
86,2022,2/28/2022,3/27/2022,-0.2395,5202,677.0,-0.059722222,376.3,0.087460708,0.090396705,628750.0
87,2021,3/1/2021,3/28/2021,-0.2365,6840,720.0,0.076233184,346.04,0.176321871,0.112638688,576625.0
91,2024,3/4/2024,3/31/2024,-0.0021,5327,573.0,-0.010362694,415.23,0.089710036,0.09772552,711875.0
92,2023,3/6/2023,4/2/2023,-0.0256,5338,579.0,-0.210095498,381.04,0.000554722,0.011306043,648500.0
93,2022,3/7/2022,4/3/2022,-0.2152,5478,733.0,-0.111515152,380.83,0.094277133,0.107273905,641250.0
94,2021,3/8/2021,4/4/2021,-0.21350000000000002,6980,825.0,0.077023499,348.02,0.170747812,0.109966459,579125.0
98,2024,3/11/2024,4/7/2024,0.006999999999999999,5467,601.0,0.022108844,416.44,0.087385037,0.07781583,708125.0
99,2023,3/13/2023,4/9/2023,-0.063,5429,588.0,-0.218085106,382.97,-0.001056238,0.006896552,657000.0
100,2022,3/14/2022,4/10/2022,-0.1916,5794,752.0,-0.080684597,383.38,0.103273526,0.124031008,652500.0
