Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
352000,"East Boston, Boston, MA",3.0,1.0,3,41,6,3,3,12,182,39,40
368000,"East Boston, Boston, MA",3.0,1.0,2,41,8,4,0,12,285,38,99
288000,"East Boston, Boston, MA",2.0,1.0,4,41,5,2,0,7,439,61,181
431200,"East Boston, Boston, MA",4.0,1.0,1,41,4,3,3,10,345,46,140
288000,"East Boston, Boston, MA",2.0,1.0,2,41,6,3,3,12,198,34,56
480000,"East Boston, Boston, MA",4.0,1.0,1,41,5,3,3,11,284,36,104
344000,"East Boston, Boston, MA",3.0,1.0,2,41,6,3,3,12,182,39,40
296000,"East Boston, Boston, MA",2.0,1.0,1,41,3,2,2,7,282,40,110
304000,"East Boston, Boston, MA",2.0,1.0,4,41,6,3,3,12,258,43,73
312000,"East Boston, Boston, MA",2.0,1.0,1,41,2,2,2,6,124,22,22
319200,"East Boston, Boston, MA",3.0,1.0,2,41,7,4,0,11,274,38,92
312000,"East Boston, East Boston, MA",2.0,1.0,1,41,5,3,3,11,256,36,85
400000,"East Boston, Boston, MA",3.0,1.0,3,41,6,3,3,12,205,34,59
384000,"East Boston, Boston, MA",3.0,1.0,2,41,4,3,3,10,446,62,179
480000,"East Boston, Boston, MA",4.0,1.0,1,41,7,4,4,15,226,35,61
400000,"East Boston, Boston, MA",3.0,1.0,2,41,6,3,3,12,199,31,56
400000,"East Boston, Boston, MA",3.0,1.0,2,41,2,0,2,4,214,38,57
392000,"East Boston, Boston, MA",3.0,1.0,2,41,4,2,2,8,210,36,56
400000,"East Boston, Boston, MA",3.0,1.0,3,41,6,3,3,12,198,34,56
384000,"East Boston, Boston, MA",3.0,1.0,2,41,4,3,3,10,446,62,179
384000,"East Boston, Boston, MA",3.0,1.0,2,41,4,2,2,8,164,45,32
479200,"East Boston, Boston, MA",4.0,1.0,1,41,4,2,2,8,65,7,11
479200,"East Boston, Boston, MA",4.0,1.0,1,41,2,2,2,6,145,24,27
432000,"East Boston, Boston, MA",4.0,1.0,2,41,4,3,3,10,467,62,189
384000,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,284,38,105
384000,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,284,36,104
576000,"East Boston, Boston, MA",5.0,1.0,2,41,6,3,3,12,205,39,56
320000,"East Boston, Boston, MA",2.0,1.0,2,41,6,3,3,12,201,34,57
448000,"East Boston, Boston, MA",4.0,1.0,1,41,2,2,2,6,121,20,24
392000,"East Boston, East Boston, MA",3.0,1.0,1,41,4,3,3,10,345,46,140
416000,"East Boston, Boston, MA",3.0,1.0,2,41,4,3,3,10,551,67,215
404000,"East Boston, Boston, MA",3.0,1.0,1,41,4,3,3,10,306,39,119
412000,"East Boston, Boston, MA",3.0,1.0,1,41,4,3,3,10,421,62,164
416000,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,284,36,104
416000,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,284,36,104
236000,"East Boston, Boston, MA",1.0,1.0,3,41,7,4,0,11,254,38,78
448000,"East Boston, Boston, MA",4.0,1.0,1,41,2,2,2,6,93,14,17
440000,"East Boston, Boston, MA",4.0,1.0,1,41,4,3,3,10,421,62,164
448000,"East Boston, Boston, MA",4.0,1.0,2,41,4,2,2,8,164,45,32
352000,"East Boston, Boston, MA",2.0,1.0,1,41,3,2,2,7,225,33,77
512000,"East Boston, Boston, MA",4.0,1.0,1,41,4,2,2,8,65,7,11
512000,"East Boston, Boston, MA",4.0,1.0,1,41,2,0,2,4,167,38,34
512000,"East Boston, Boston, MA",4.0,1.0,1,41,5,2,2,9,163,38,32
512000,"East Boston, Boston, MA",4.0,1.0,1,41,4,2,2,8,63,8,11
512000,"East Boston, Boston, MA",4.0,1.0,2,41,4,2,2,8,164,45,32
496000,"East Boston, Boston, MA",4.0,1.0,1,41,4,2,2,8,65,7,11
492000,"East Boston, Boston, MA",4.0,1.0,1,41,2,0,0,2,48,8,10
400000,"East Boston, East Boston, MA",3.0,1.0,2,41,6,3,3,12,198,34,56
480000,"East Boston, Boston, MA",4.0,1.0,1,41,5,3,3,11,284,36,104
352000,"East Boston, Boston, MA",2.0,1.0,2,41,4,3,3,10,551,67,215
352000,"East Boston, Boston, MA",2.0,1.0,2,41,4,1,1,6,196,32,55
336000,"East Boston, Boston, MA",2.0,1.0,1,41,3,2,2,7,342,43,142
352000,"East Boston, Boston, MA",2.0,1.0,4,41,6,3,3,12,258,43,73
512000,"East Boston, Boston, MA",4.0,1.0,2,41,6,3,3,12,200,35,53
512000,"East Boston, Boston, MA",4.0,1.0,1,41,5,3,3,11,284,36,104
480000,"East Boston, Boston, MA",4.0,2.0,2,41,6,3,3,12,203,33,57
584000,"East Boston, Boston, MA",5.0,1.5,1,41,2,2,2,6,89,14,17
512000,"East Boston, Boston, MA",4.0,1.0,1,41,2,2,2,6,93,15,16
351200,"East Boston, Boston, MA",2.0,1.0,1,41,5,3,3,11,422,59,169
480000,"East Boston, Boston, MA",4.0,2.5,1,41,3,2,2,7,289,42,111
480000,"East Boston, Boston, MA",4.0,2.5,1,41,3,2,2,7,289,42,111
368000,"East Boston, Boston, MA",2.0,1.0,1,41,5,3,3,11,422,59,169
416000,"East Boston, Boston, MA",3.0,1.0,1,41,3,0,2,5,198,33,54
352000,"East Boston, East Boston, MA",2.0,1.0,1,41,4,3,3,10,361,49,148
264000,"East Boston, Boston, MA",1.0,1.0,3,41,6,3,3,12,205,34,59
420400,"East Boston, East Boston, MA",3.0,1.0,1,41,3,2,2,7,88,14,15
448000,"East Boston, Boston, MA",2.0,1.0,4,41,4,2,0,6,511,66,210
368000,"East Boston, Boston, MA",2.0,1.0,1,41,2,2,2,6,150,28,30
344000,"East Boston, Boston, MA",2.0,1.0,1,41,4,2,2,8,210,36,56
352000,"East Boston, Boston, MA",2.0,1.0,2,41,3,0,2,5,203,36,53
420000,"East Boston, Boston, MA",3.0,2.0,1,41,4,2,2,8,162,38,32
384000,"East Boston, Boston, MA",2.0,1.0,1,41,5,3,3,11,422,59,169
