Day of Year,Year of Period End,Period Begin,Period End,adjusted_average_homes_sold,adjusted_average_homes_sold_yoy,Average Homes Sold Yoy (tooltip)
1,2023,12/5/2022,1/1/2023,725,-0.304889741,-30.50%
2,2022,12/6/2021,1/2/2022,"1,043",-0.019736842,-2.00%
3,2021,12/7/2020,1/3/2021,"1,064",0.173098126,17.30%
7,2024,12/11/2023,1/7/2024,561,-0.14351145,-14.40%
8,2023,12/12/2022,1/8/2023,655,-0.299465241,-29.90%
9,2022,12/13/2021,1/9/2022,935,-0.065,-6.50%
10,2021,12/14/2020,1/10/2021,"1,000",0.218026797,21.80%
14,2024,12/18/2023,1/14/2024,503,-0.128249567,-12.80%
15,2023,12/19/2022,1/15/2023,577,-0.299757282,-30.00%
16,2022,12/20/2021,1/16/2022,824,-0.055045872,-5.50%
17,2021,12/21/2020,1/17/2021,872,0.295690936,29.60%
21,2024,12/25/2023,1/21/2024,442,-0.159695817,-16.00%
22,2023,12/26/2022,1/22/2023,526,-0.333333333,-33.30%
23,2022,12/27/2021,1/23/2022,789,-0.062945368,-6.30%
24,2021,12/28/2020,1/24/2021,842,0.25297619,25.30%
28,2024,1/1/2024,1/28/2024,415,-0.105603448,-10.60%
29,2023,1/2/2023,1/29/2023,464,-0.345557123,-34.60%
30,2022,1/3/2022,1/30/2022,709,-0.162927981,-16.30%
31,2021,1/4/2021,1/31/2021,847,0.211731044,21.20%
35,2024,1/8/2024,2/4/2024,446,-0.097165992,-9.70%
36,2023,1/9/2023,2/5/2023,494,-0.290229885,-29.00%
37,2022,1/10/2022,2/6/2022,696,-0.120101138,-12.00%
38,2021,1/11/2021,2/7/2021,791,0.237871674,23.80%
42,2024,1/15/2024,2/11/2024,402,-0.110619469,-11.10%
43,2023,1/16/2023,2/12/2023,452,-0.252892562,-25.30%
44,2022,1/17/2022,2/13/2022,605,-0.126984127,-12.70%
45,2021,1/18/2021,2/14/2021,693,0.194827586,19.50%
49,2024,1/22/2024,2/18/2024,395,-0.118303571,-11.80%
50,2023,1/23/2023,2/19/2023,448,-0.223570191,-22.40%
51,2022,1/24/2022,2/20/2022,577,-0.142644874,-14.30%
52,2021,1/25/2021,2/21/2021,673,0.166377816,16.60%
56,2024,1/29/2024,2/25/2024,388,-0.122171946,-12.20%
57,2023,1/30/2023,2/26/2023,442,-0.166037736,-16.60%
58,2022,1/31/2022,2/27/2022,530,-0.178294574,-17.80%
59,2021,2/1/2021,2/28/2021,645,0.064356436,6.40%
63,2024,2/5/2024,3/3/2024,450,-0.070247934,-7.00%
64,2023,2/6/2023,3/5/2023,484,-0.172649573,-17.30%
65,2022,2/7/2022,3/6/2022,585,-0.161891117,-16.20%
66,2021,2/8/2021,3/7/2021,698,0.077160494,7.70%
70,2024,2/12/2024,3/10/2024,493,-0.046421663,-4.60%
71,2023,2/13/2023,3/12/2023,517,-0.156606852,-15.70%
72,2022,2/14/2022,3/13/2022,613,-0.168249661,-16.80%
73,2021,2/15/2021,3/14/2021,737,0.095096582,9.50%
77,2024,2/19/2024,3/17/2024,520,-0.028037383,-2.80%
78,2023,2/20/2023,3/19/2023,535,-0.165366615,-16.50%
79,2022,2/21/2022,3/20/2022,641,-0.188607595,-18.90%
80,2021,2/22/2021,3/21/2021,790,0.077762619,7.80%
84,2024,2/26/2024,3/24/2024,550,0.020408163,2.00%
85,2023,2/27/2023,3/26/2023,539,-0.203840473,-20.40%
86,2022,2/28/2022,3/27/2022,677,-0.059722222,-6.00%
87,2021,3/1/2021,3/28/2021,720,0.076233184,7.60%
91,2024,3/4/2024,3/31/2024,573,-0.010362694,-1.00%
92,2023,3/6/2023,4/2/2023,579,-0.210095498,-21.00%
93,2022,3/7/2022,4/3/2022,733,-0.111515152,-11.20%
94,2021,3/8/2021,4/4/2021,825,0.077023499,7.70%
98,2024,3/11/2024,4/7/2024,601,0.022108844,2.20%
99,2023,3/13/2023,4/9/2023,588,-0.218085106,-21.80%
100,2022,3/14/2022,4/10/2022,752,-0.080684597,-8.10%
101,2021,3/15/2021,4/11/2021,818,0.111413043,11.10%
105,2024,3/18/2024,4/14/2024,619,0.023140496,2.30%
106,2023,3/20/2023,4/16/2023,605,-0.227330779,-22.70%
107,2022,3/21/2022,4/17/2022,783,-0.10206422,-10.20%
108,2021,3/22/2021,4/18/2021,872,0.189631651,19.00%
112,2024,3/25/2024,4/21/2024,639,0.0224,2.20%
113,2023,3/27/2023,4/23/2023,625,-0.209860936,-21.00%
114,2022,3/28/2022,4/24/2022,791,-0.114221725,-11.40%
115,2021,3/29/2021,4/25/2021,893,0.255977496,25.60%
119,2024,4/1/2024,4/28/2024,608,-0.057364341,-5.70%
120,2023,4/3/2023,4/30/2023,645,-0.246495327,-24.60%
121,2022,4/4/2022,5/1/2022,856,-0.121149897,-12.10%
122,2021,4/5/2021,5/2/2021,974,0.279894875,28.00%
126,2024,4/8/2024,5/5/2024,703,0.010057471,1.00%
127,2023,4/10/2023,5/7/2023,696,-0.247567568,-24.80%
128,2022,4/11/2022,5/8/2022,925,-0.139534884,-14.00%
129,2021,4/12/2021,5/9/2021,"1,075",0.376440461,37.60%
133,2024,4/15/2024,5/12/2024,707,0.027616279,2.80%
134,2023,4/17/2023,5/14/2023,688,-0.275789474,-27.60%
135,2022,4/18/2022,5/15/2022,950,-0.147982063,-14.80%
136,2021,4/19/2021,5/16/2021,"1,115",0.440568475,44.10%
140,2024,4/22/2024,5/19/2024,758,0.012016021,1.20%
141,2023,4/24/2023,5/21/2023,749,-0.283253589,-28.30%
142,2022,4/25/2022,5/22/2022,"1,045",-0.127712855,-12.80%
143,2021,4/26/2021,5/23/2021,"1,198",0.5538262,55.40%
147,2024,4/29/2024,5/26/2024,774,0.090140845,9.00%
148,2023,5/1/2023,5/28/2023,710,-0.299802761,-30.00%
149,2022,5/2/2022,5/29/2022,"1,014",-0.167487685,-16.70%
150,2021,5/3/2021,5/30/2021,"1,218",0.720338983,72.00%
154,2024,5/6/2024,6/2/2024,793,0.001262626,0.10%
155,2023,5/8/2023,6/4/2023,792,-0.283257919,-28.30%
156,2022,5/9/2022,6/5/2022,"1,105",-0.108870968,-10.90%
157,2021,5/10/2021,6/6/2021,"1,240",0.68707483,68.70%
161,2024,5/13/2024,6/9/2024,845,0.019300362,1.90%
162,2023,5/15/2023,6/11/2023,829,-0.277874564,-27.80%
163,2022,5/16/2022,6/12/2022,"1,148",-0.055921053,-5.60%
