Rent,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
2200,"East Boston, Boston, MA",3.0,1.0,3,41,6,3,3,12,182,39,40
2300,"East Boston, Boston, MA",3.0,1.0,2,41,8,4,0,12,285,38,99
1800,"East Boston, Boston, MA",2.0,1.0,4,41,5,2,0,7,439,61,181
2695,"East Boston, Boston, MA",4.0,1.0,1,41,4,3,3,10,345,46,140
1800,"East Boston, Boston, MA",2.0,1.0,2,41,6,3,3,12,198,34,56
3000,"East Boston, Boston, MA",4.0,1.0,1,41,5,3,3,11,284,36,104
2150,"East Boston, Boston, MA",3.0,1.0,2,41,6,3,3,12,182,39,40
1850,"East Boston, Boston, MA",2.0,1.0,1,41,3,2,2,7,282,40,110
1900,"East Boston, Boston, MA",2.0,1.0,4,41,6,3,3,12,258,43,73
1950,"East Boston, Boston, MA",2.0,1.0,1,41,2,2,2,6,124,22,22
1995,"East Boston, Boston, MA",3.0,1.0,2,41,7,4,0,11,274,38,92
1950,"East Boston, East Boston, MA",2.0,1.0,1,41,5,3,3,11,256,36,85
2500,"East Boston, Boston, MA",3.0,1.0,3,41,6,3,3,12,205,34,59
2400,"East Boston, Boston, MA",3.0,1.0,2,41,4,3,3,10,446,62,179
3000,"East Boston, Boston, MA",4.0,1.0,1,41,7,4,4,15,226,35,61
2500,"East Boston, Boston, MA",3.0,1.0,2,41,6,3,3,12,199,31,56
2500,"East Boston, Boston, MA",3.0,1.0,2,41,2,0,2,4,214,38,57
2450,"East Boston, Boston, MA",3.0,1.0,2,41,4,2,2,8,210,36,56
2500,"East Boston, Boston, MA",3.0,1.0,3,41,6,3,3,12,198,34,56
2400,"East Boston, Boston, MA",3.0,1.0,2,41,4,3,3,10,446,62,179
2400,"East Boston, Boston, MA",3.0,1.0,2,41,4,2,2,8,164,45,32
2995,"East Boston, Boston, MA",4.0,1.0,1,41,4,2,2,8,65,7,11
2995,"East Boston, Boston, MA",4.0,1.0,1,41,2,2,2,6,145,24,27
2700,"East Boston, Boston, MA",4.0,1.0,2,41,4,3,3,10,467,62,189
2400,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,284,38,105
2400,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,284,36,104
3600,"East Boston, Boston, MA",5.0,1.0,2,41,6,3,3,12,205,39,56
2000,"East Boston, Boston, MA",2.0,1.0,2,41,6,3,3,12,201,34,57
2800,"East Boston, Boston, MA",4.0,1.0,1,41,2,2,2,6,121,20,24
2450,"East Boston, East Boston, MA",3.0,1.0,1,41,4,3,3,10,345,46,140
2600,"East Boston, Boston, MA",3.0,1.0,2,41,4,3,3,10,551,67,215
2525,"East Boston, Boston, MA",3.0,1.0,1,41,4,3,3,10,306,39,119
2575,"East Boston, Boston, MA",3.0,1.0,1,41,4,3,3,10,421,62,164
2600,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,284,36,104
2600,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,284,36,104
1475,"East Boston, Boston, MA",1.0,1.0,3,41,7,4,0,11,254,38,78
2800,"East Boston, Boston, MA",4.0,1.0,1,41,2,2,2,6,93,14,17
2750,"East Boston, Boston, MA",4.0,1.0,1,41,4,3,3,10,421,62,164
2800,"East Boston, Boston, MA",4.0,1.0,2,41,4,2,2,8,164,45,32
2200,"East Boston, Boston, MA",2.0,1.0,1,41,3,2,2,7,225,33,77
3200,"East Boston, Boston, MA",4.0,1.0,1,41,4,2,2,8,65,7,11
3200,"East Boston, Boston, MA",4.0,1.0,1,41,2,0,2,4,167,38,34
3200,"East Boston, Boston, MA",4.0,1.0,1,41,5,2,2,9,163,38,32
3200,"East Boston, Boston, MA",4.0,1.0,1,41,4,2,2,8,63,8,11
3200,"East Boston, Boston, MA",4.0,1.0,2,41,4,2,2,8,164,45,32
3100,"East Boston, Boston, MA",4.0,1.0,1,41,4,2,2,8,65,7,11
3075,"East Boston, Boston, MA",4.0,1.0,1,41,2,0,0,2,48,8,10
2500,"East Boston, East Boston, MA",3.0,1.0,2,41,6,3,3,12,198,34,56
3000,"East Boston, Boston, MA",4.0,1.0,1,41,5,3,3,11,284,36,104
2200,"East Boston, Boston, MA",2.0,1.0,2,41,4,3,3,10,551,67,215
2200,"East Boston, Boston, MA",2.0,1.0,2,41,4,1,1,6,196,32,55
2100,"East Boston, Boston, MA",2.0,1.0,1,41,3,2,2,7,342,43,142
2200,"East Boston, Boston, MA",2.0,1.0,4,41,6,3,3,12,258,43,73
3200,"East Boston, Boston, MA",4.0,1.0,2,41,6,3,3,12,200,35,53
3200,"East Boston, Boston, MA",4.0,1.0,1,41,5,3,3,11,284,36,104
3000,"East Boston, Boston, MA",4.0,2.0,2,41,6,3,3,12,203,33,57
3650,"East Boston, Boston, MA",5.0,1.5,1,41,2,2,2,6,89,14,17
3200,"East Boston, Boston, MA",4.0,1.0,1,41,2,2,2,6,93,15,16
2195,"East Boston, Boston, MA",2.0,1.0,1,41,5,3,3,11,422,59,169
3000,"East Boston, Boston, MA",4.0,2.5,1,41,3,2,2,7,289,42,111
3000,"East Boston, Boston, MA",4.0,2.5,1,41,3,2,2,7,289,42,111
2300,"East Boston, Boston, MA",2.0,1.0,1,41,5,3,3,11,422,59,169
2600,"East Boston, Boston, MA",3.0,1.0,1,41,3,0,2,5,198,33,54
2200,"East Boston, East Boston, MA",2.0,1.0,1,41,4,3,3,10,361,49,148
1650,"East Boston, Boston, MA",1.0,1.0,3,41,6,3,3,12,205,34,59
2627,"East Boston, East Boston, MA",3.0,1.0,1,41,3,2,2,7,88,14,15
2800,"East Boston, Boston, MA",2.0,1.0,4,41,4,2,0,6,511,66,210
2300,"East Boston, Boston, MA",2.0,1.0,1,41,2,2,2,6,150,28,30
2150,"East Boston, Boston, MA",2.0,1.0,1,41,4,2,2,8,210,36,56
2200,"East Boston, Boston, MA",2.0,1.0,2,41,3,0,2,5,203,36,53
2625,"East Boston, Boston, MA",3.0,2.0,1,41,4,2,2,8,162,38,32
2400,"East Boston, Boston, MA",2.0,1.0,1,41,5,3,3,11,422,59,169
2350,"East Boston, Boston, MA",2.0,1.0,1,41,4,2,2,8,65,7,11
2400,"East Boston, Boston, MA",2.0,1.0,1,41,3,2,2,7,498,72,194
2400,"East Boston, Boston, MA",2.0,1.0,1,41,5,3,3,11,261,35,88
4100,"East Boston, Boston, MA",5.0,2.0,2,41,3,0,2,5,204,35,55
2850,"East Boston, Boston, MA",3.0,1.0,1,41,2,2,2,6,117,20,21
870,"East Boston, Boston, MA",1.0,1.0,4,41,5,3,3,11,283,47,88
1800,"East Boston, Boston, MA",1.0,1.0,4,41,5,2,0,7,331,56,124
1750,"East Boston, Boston, MA",1.0,1.0,2,41,4,2,2,8,210,36,56
1775,"East Boston, Boston, MA",1.0,1.0,1,41,2,0,0,2,55,8,10
1750,"East Boston, Boston, MA",1.0,1.0,1,41,5,3,3,11,422,59,169
3400,"East Boston, Boston, MA",4.0,1.0,4,41,7,4,0,11,302,44,97
3400,"East Boston, Boston, MA",4.0,1.0,1,41,4,3,3,10,313,43,121
2300,"East Boston, Boston, MA",2.0,1.0,4,41,6,3,3,12,238,35,67
2895,"East Boston, Boston, MA",3.0,1.0,2,41,6,3,3,12,223,36,61
2200,"East Boston, Boston, MA",2.0,2.0,1,41,5,3,3,11,261,35,88
3000,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,284,36,104
1850,"East Boston, Boston, MA",1.0,1.0,1,41,3,2,2,7,70,10,15
1900,"East Boston, Boston, MA",1.0,1.0,2,41,5,3,3,11,444,59,179
2800,"East Boston, Boston, MA",3.0,1.0,1,41,4,3,3,10,361,49,148
2800,"East Boston, Boston, MA",3.0,1.0,4,41,7,4,0,11,331,64,110
2675,"East Boston, Boston, MA",3.0,1.0,1,41,5,3,3,11,422,59,169
2685,"East Boston, Boston, MA",3.0,1.0,3,41,6,3,3,12,215,41,56
2800,"East Boston, Boston, MA",3.0,1.0,2,41,6,3,3,12,200,35,53
3350,"East Boston, Boston, MA",4.0,1.0,1,41,5,3,3,11,313,43,121
3300,"East Boston, Boston, MA",4.0,2.0,1,41,4,2,2,8,63,8,11
3400,"East Boston, Boston, MA",4.0,1.0,2,41,6,3,3,12,204,32,59
3500,"East Boston, Boston, MA",4.0,1.0,1,41,6,3,3,12,204,32,59
2700,"East Boston, Boston, MA",3.0,1.0,2,41,6,3,3,12,200,35,53
2700,"East Boston, Boston, MA",3.0,1.0,4,41,4,2,0,6,465,63,193
2995,"East Boston, Boston, MA",3.0,1.0,2,41,4,1,1,6,199,31,56
2350,"East Boston, Boston, MA",2.0,1.0,1,41,5,3,3,11,422,59,169
3150,"East Boston, Boston, MA",3.0,1.0,2,41,7,4,0,11,285,38,99
3150,"East Boston, Boston, MA",3.0,1.0,2,41,7,4,0,11,285,38,99
3100,"East Boston, Boston, MA",3.0,1.0,2,41,5,2,2,9,167,43,32
2850,"East Boston, East Boston, MA",3.0,1.0,1,41,3,0,1,4,199,31,53
2200,"East Boston, East Boston, MA",2.0,1.5,1,41,5,3,3,11,284,38,105
2700,"East Boston, Boston, MA",3.0,1.0,1,41,6,3,3,12,204,32,59
2900,"East Boston, Boston, MA",3.0,1.0,1,41,2,2,2,6,141,24,26
3700,"East Boston, East Boston, MA",6.0,2.5,1,41,3,2,2,7,289,42,111
5000,"East Boston, Boston, MA",5.0,2.0,2,41,4,3,3,10,501,64,203
3595,"East Boston, Boston, MA",4.0,1.5,3,41,5,2,2,9,164,37,36
2600,"East Boston, Boston, MA",2.0,1.0,4,41,4,2,0,6,439,59,178
4500,"East Boston, Boston, MA",5.0,3.0,1,41,4,1,1,6,54,9,9
3200,"East Boston, Boston, MA",3.0,1.0,2,41,4,1,1,6,199,31,56
3650,"East Boston, Boston, MA",4.0,2.0,2,41,7,4,0,11,225,32,69
2500,"East Boston, Boston, MA",2.0,1.0,4,41,4,2,0,6,439,59,178
2675,"East Boston, Boston, MA",2.0,1.0,4,41,6,3,3,12,248,42,70
2600,"East Boston, Boston, MA",2.0,1.0,2,41,7,4,0,11,225,32,69
2600,"East Boston, Boston, MA",2.0,1.0,3,41,6,4,0,10,406,64,163
2600,"East Boston, Boston, MA",2.0,1.0,2,41,6,3,3,12,205,39,56
2750,"East Boston, Boston, MA",3.0,1.0,2,41,6,3,3,12,215,33,59
2500,"East Boston, Boston, MA",2.0,1.0,3,41,6,4,0,10,406,64,163
2500,"East Boston, Boston, MA",2.0,1.0,2,41,5,3,3,11,444,59,179
2500,"East Boston, Boston, MA",2.0,1.0,4,41,4,2,0,6,465,63,193
2700,"East Boston, Boston, MA",3.0,1.0,4,41,5,2,0,7,409,58,166
2700,"East Boston, Boston, MA",2.0,1.0,4,41,6,3,3,12,248,42,70
5000,"East Boston, Boston, MA",5.0,3.0,4,41,7,4,4,15,303,46,94
3300,"East Boston, Boston, MA",3.0,2.0,2,41,5,2,2,9,167,43,32
3350,"East Boston, Boston, MA",3.0,2.0,4,41,4,2,0,6,383,58,153
3500,"East Boston, Boston, MA",3.0,2.0,2,41,5,2,0,7,472,62,194
3695,"East Boston, Boston, MA",3.0,2.0,4,41,6,3,3,12,248,42,70
3675,"East Boston, Boston, MA",3.0,2.0,4,41,6,3,3,12,248,42,70
2400,"East Boston, Boston, MA",2.0,1.0,4,41,4,2,0,6,409,58,166
2000,"East Boston, Boston, MA",1.0,1.0,3,41,5,2,2,9,199,37,53
3800,"East Boston, Boston, MA",3.0,2.0,2,41,4,3,3,10,501,64,203
2000,"East Boston, Boston, MA",1.0,1.0,2,41,6,3,3,12,201,34,57
3499,"East Boston, Boston, MA",2.0,1.0,1,41,3,2,0,5,587,71,233
3550,"East Boston, Boston, MA",2.0,2.0,1,41,2,2,2,6,535,73,216
3595,"East Boston, Boston, MA",3.0,2.0,4,41,6,3,3,12,248,42,70
3600,"East Boston, Boston, MA",3.0,2.0,2,41,4,3,3,10,501,64,203
2200,"East Boston, Boston, MA",1.0,1.0,2,41,3,0,2,5,213,38,57
4050,"East Boston, Boston, MA",6.0,2.0,4,41,6,3,3,12,258,43,73
2775,"East Boston, Boston, MA",2.0,1.0,4,41,6,3,3,12,248,42,70
2800,"East Boston, Boston, MA",2.0,1.0,4,41,6,3,3,12,248,42,70
3200,"East Boston, Boston, MA",3.0,2.0,3,41,6,3,3,12,248,42,70
2400,"East Boston, Boston, MA",2.0,2.0,2,41,8,4,0,12,285,38,99
4500,"East Boston, Boston, MA",5.0,3.0,2,41,6,3,3,12,201,34,54
2295,"East Boston, Boston, MA",1.0,1.0,2,41,6,3,3,12,223,36,61
3795,"East Boston, Boston, MA",3.0,2.0,4,41,6,3,3,12,248,42,70
3875,"East Boston, Boston, MA",3.0,2.0,4,41,6,3,3,12,248,42,70
3100,"East Boston, Boston, MA",3.0,2.0,3,41,5,2,2,9,167,43,32
1500,"Charlestown, Boston, MA",1.0,1.0,1,56,1,2,2,5,297,44,99
2200,"Charlestown, Boston, MA",2.0,1.0,1,56,1,2,2,5,270,43,91
3000,"Charlestown, Boston, MA",3.0,1.0,3,56,2,3,3,8,426,64,146
2100,"Charlestown, Boston, MA",1.0,1.0,1,56,2,2,2,6,361,64,123
4246,"Charlestown, Charlestown, MA",3.0,2.0,1,56,2,2,2,6,225,46,68
3500,"Charlestown, Boston, MA",3.0,2.0,1,56,2,2,2,6,281,37,97
4200,"Charlestown, Charlestown, MA",4.0,2.0,1,56,2,2,2,6,225,46,68
2500,"Charlestown, Boston, MA",1.0,1.0,1,56,2,2,2,6,281,37,97
4600,"Charlestown, Boston, MA",4.0,2.0,1,56,2,2,2,6,225,46,68
3142,"Charlestown, Boston, MA",2.0,2.0,1,56,1,2,2,5,270,38,99
2600,"Charlestown, Boston, MA",1.0,1.0,1,56,2,2,2,6,543,76,190
3350,"Charlestown, Boston, MA",1.0,1.0,1,56,1,1,1,3,408,67,148
2225,"Charlestown, Charlestown, MA",1.0,1.0,1,56,1,1,1,3,416,67,148
3662,"Charlestown, Charlestown, MA",3.0,2.0,1,56,1,2,2,5,220,41,66
1500,"Charlestown, Charlestown, MA",1.0,1.0,1,56,1,2,2,5,297,44,99
1950,"Charlestown, Boston, MA",2.0,1.0,3,56,2,2,2,6,307,67,108
2200,"Charlestown, Charlestown, MA",2.0,1.0,1,56,2,2,2,6,427,68,150
2150,"Charlestown, Charlestown, MA",2.0,1.0,1,56,2,2,2,6,233,34,83
2650,"Charlestown, Boston, MA",3.0,1.0,1,56,2,2,2,6,245,38,82
2295,"Charlestown, Charlestown, MA",2.0,1.0,1,56,2,2,2,6,281,37,97
2800,"Charlestown, Charlestown, MA",3.0,1.0,2,56,2,2,2,6,459,69,161
3150,"Charlestown, Charlestown, MA",3.0,1.0,1,56,2,2,2,6,409,62,135
1750,"Charlestown, Charlestown, MA",1.0,1.0,1,56,2,3,3,8,511,74,181
2750,"Charlestown, Charlestown, MA",2.0,1.0,1,56,2,2,2,6,276,43,94
2500,"Charlestown, Boston, MA",2.0,1.0,1,56,1,2,2,5,258,38,93
2750,"Charlestown, Charlestown, MA",2.0,1.0,1,56,2,2,2,6,276,43,94
2600,"Charlestown, Boston, MA",2.0,1.0,1,56,2,2,2,6,376,64,125
2750,"Charlestown, Charlestown, MA",2.0,1.0,1,56,2,2,2,6,369,65,123
2750,"Charlestown, Boston, MA",2.0,1.0,1,56,2,2,2,6,369,65,123
3000,"Charlestown, Charlestown, MA",3.0,2.0,1,56,1,2,2,5,237,37,82
3300,"Charlestown, Charlestown, MA",3.0,2.0,1,56,2,2,2,6,358,66,123
4200,"Charlestown, Boston, MA",4.0,2.0,1,56,2,2,2,6,225,46,68
3400,"Charlestown, Charlestown, MA",3.0,2.0,1,56,2,2,2,6,323,54,105
2250,"Charlestown, Charlestown, MA",1.0,1.0,1,56,2,2,2,6,205,30,74
2800,"Charlestown, Charlestown, MA",2.0,2.0,1,56,2,2,2,6,348,64,112
2800,"Charlestown, Charlestown, MA",2.0,1.5,1,56,1,2,2,5,258,38,93
4200,"Charlestown, Boston, MA",4.0,2.0,1,56,2,2,2,6,225,46,68
2500,"Charlestown, Boston, MA",2.0,1.0,1,56,2,2,2,6,336,62,113
4200,"Charlestown, Charlestown, MA",4.0,2.0,1,56,2,2,2,6,225,46,68
3000,"Charlestown, Boston, MA",2.0,1.0,2,56,1,2,2,5,258,38,93
2900,"Charlestown, Boston, MA",3.0,2.0,1,56,2,2,2,6,294,38,99
2900,"Charlestown, Charlestown, MA",2.0,1.0,1,56,2,2,2,6,502,75,181
2650,"Charlestown, Boston, MA",2.0,1.0,3,56,2,2,2,6,459,69,161
2650,"Charlestown, Boston, MA",2.0,1.0,1,56,1,2,2,5,192,32,50
2700,"Charlestown, Boston, MA",2.0,1.0,1,56,2,2,2,6,323,54,105
2900,"Charlestown, Charlestown, MA",2.0,1.0,1,56,1,1,1,3,342,68,119
2300,"Charlestown, Charlestown, MA",1.0,1.0,1,56,2,2,2,6,458,71,168
2500,"Charlestown, Charlestown, MA",1.0,1.0,1,56,1,2,2,5,238,39,82
2550,"Charlestown, Charlestown, MA",1.0,1.5,1,56,2,2,2,6,376,64,125
3000,"Charlestown, Boston, MA",2.0,1.0,1,56,2,2,2,6,309,44,106
2800,"Charlestown, Boston, MA",2.0,1.0,1,56,1,2,2,5,237,37,82
2950,"Charlestown, Boston, MA",2.0,1.0,1,56,2,2,2,6,502,75,181
2600,"Charlestown, Boston, MA",2.0,1.5,1,56,2,2,2,6,534,78,191
4600,"Charlestown, Charlestown, MA",4.0,2.0,1,56,2,2,2,6,225,46,68
2100,"Charlestown, Boston, MA",1.0,1.0,1,56,2,2,2,6,281,37,97
3350,"Charlestown, Boston, MA",3.0,2.0,2,56,2,2,2,6,333,58,110
4600,"Charlestown, Boston, MA",4.0,2.0,1,56,2,2,2,6,225,46,68
2450,"Charlestown, Boston, MA",1.0,1.0,2,56,2,2,2,6,262,37,87
3565,"Charlestown, Charlestown, MA",2.0,1.0,2,56,1,1,1,3,494,69,177
2150,"Charlestown, Boston, MA",1.0,1.0,1,56,2,2,0,4,614,80,212
2500,"Charlestown, Charlestown, MA",3.0,2.5,1,56,2,2,2,6,418,68,148
2300,"Charlestown, Boston, MA",1.0,1.0,1,56,2,2,2,6,309,44,106
2400,"Charlestown, Boston, MA",1.0,1.0,1,56,1,2,2,5,235,36,79
2450,"Charlestown, Boston, MA",1.0,1.0,1,56,2,2,0,4,614,80,212
2500,"Charlestown, Boston, MA",1.0,1.0,1,56,2,2,2,6,498,70,177
2550,"Charlestown, Charlestown, MA",1.0,1.0,1,56,2,2,2,6,218,31,75
3450,"Charlestown, Boston, MA",2.0,2.0,1,20,2,3,3,8,511,74,181
2850,"Charlestown, Charlestown, MA",1.0,1.0,1,56,2,3,3,8,595,77,207
3600,"Charlestown, Charlestown, MA",2.0,1.5,1,56,3,3,0,6,612,78,213
4000,"Charlestown, Charlestown, MA",2.0,1.5,1,56,2,2,2,6,534,78,191
4500,"Charlestown, Boston, MA",4.0,2.5,2,56,2,2,2,6,332,59,105
4200,"Charlestown, Boston, MA",2.0,2.0,1,56,1,2,2,5,210,35,61
4500,"Charlestown, Boston, MA",3.0,2.5,1,56,2,2,2,6,215,33,76
3300,"Charlestown, Charlestown, MA",1.0,1.0,2,56,1,1,1,3,494,69,177
3995,"Charlestown, Charlestown, MA",1.0,1.0,1,56,1,1,1,3,383,67,141
5540,"Charlestown, Charlestown, MA",2.0,2.0,2,56,1,1,1,3,494,69,177
5975,"Charlestown, Boston, MA",2.0,2.0,1,56,1,1,1,3,383,67,141
